# $Id$
# PcbXY Version 1.0
# Date: Sun 20 Feb 2011 16:36:55 GMT UTC
# Author: Thomas Oldbury
# Title: (unknown) - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mils.  rotation in degrees.
# --------------------------------------------
C19,"0805","22u 6.3V",1131.07,939.56,90,bottom
R43,"0603","1k",1174.41,564.05,0,bottom
U9,"SOT23","unknown",1062.67,539.13,270,bottom
R42,"0603","330R",1185.59,374.21,0,bottom
R32,"0603","150k 1%",888.82,364.13,0,bottom
R16,"0603","150k 1%",2045.00,919.13,0,bottom
C24,"0603","100n",1994.41,1349.05,0,bottom
LED2,"603","GREEN_2.2V",2100.00,1069.13,0,bottom
S1,"TL1240-2","unknown",1188.58,221.18,270,bottom
Q1,"SOT23","MMBT2222A",975.00,152.46,0,bottom
R37,"0603","22k",1550.00,74.13,180,bottom
R39,"0603","10k",1385.00,309.13,270,bottom
C18,"0603","100n",1470.59,1069.05,0,top
C21,"0603","18p",1300.08,1283.54,90,top
R25,"0603","1k",1090.00,1149.13,0,bottom
R23,"0603","10k",2019.41,364.05,0,bottom
C20,"0603","18p",1620.24,1283.54,90,top
R19,"0603","150k 1%",2045.00,714.13,0,bottom
CN9,"JUMPER4","unknown",2280.00,1029.13,90,bottom
CN8,"JUMPER4","unknown",2280.00,614.13,90,bottom
S2,"TL1240-2","unknown",1548.58,226.18,270,bottom
C31,"0603","100n",1065.00,954.13,270,bottom
LED3,"603","GREEN_2.2V",1935.00,1069.13,0,bottom
R28,"0603","10k",1339.76,1018.54,270,top
CN7,"JUMPER2","unknown",2120.00,194.13,270,bottom
R47,"1206","1R 0.33W",274.09,282.00,0,top
C39,"0603","100n",590.59,1379.05,0,bottom
C22,"0603","100n",1845.00,879.13,270,bottom
R24,"0603","10k",2020.00,424.13,0,bottom
CN6,"JUMPER3","unknown",2155.00,464.13,90,bottom
CN5,"JUMPER3","unknown",2155.00,779.13,90,bottom
R52,"0603","220R",590.00,1254.13,180,bottom
R17,"0603","10k 1%",1930.00,919.13,0,bottom
